Input,Target,Delta_MAE,Rel_Importance
Torque,MF_IA,116.63976965099714,0.641353521694838
p_0,MF_IA,108.14397878745402,0.594638705588635
T_IM,MF_IA,83.38636324240218,0.45850688737520523
P_IM,MF_IA,181.86501781851103,0.9999999999999946
EGR_Rate,MF_IA,47.36312848937446,0.2604301204129284
ECU_VTG_Pos,MF_IA,68.81894171327785,0.3784067026125613
Torque,NOx_EO,58.9244497087728,0.28979361362341916
p_0,NOx_EO,32.127781321225065,0.1580061569144301
T_IM,NOx_EO,111.52879678077429,0.5485046224769515
P_IM,NOx_EO,39.86238002027009,0.19604532941415298
EGR_Rate,NOx_EO,203.33246468758838,0.9999999999999951
ECU_VTG_Pos,NOx_EO,26.450558205808374,0.13008526821552277
Torque,SOC,1.878261095329875,0.9999999999994675
p_0,SOC,0.46939400798190184,0.24990881680334928
T_IM,SOC,0.7409458395436495,0.39448500604391434
P_IM,SOC,0.763128780586641,0.40629536675368766
EGR_Rate,SOC,0.45768563525713113,0.24367519318527175
ECU_VTG_Pos,SOC,0.3538321836531074,0.1883828529125639
