target,representative_id,sensor,fault_type,severity,random_seed,n_samples,mae,rmse,r2,residual_mean,residual_std,residual_min,residual_max
MF_IA,MF_IA_High,P_IM,gaussian,0.05,42,300,34.557431855642825,37.91836383411437,-2.7811141490245704e+28,-34.33080760299335,16.09962624356623,-84.79736887098011,11.053627074207043
MF_IA,MF_IA_High,EGR_Rate,gaussian,0.05,42,300,33.1093329146926,33.30823077155093,-2.1459656482164372e+28,-33.1093329146926,3.634599162898866,-47.92415200106757,-24.570717864551398
MF_IA,MF_IA_Low,P_IM,gaussian,0.05,42,300,5.633357164062191,6.281476785944334,-4.8845338991143235e+28,5.60705173152808,2.831593454633896,-1.8735021560352152,14.62806183302024
MF_IA,MF_IA_Low,EGR_Rate,gaussian,0.05,42,300,5.706061962900687,5.810556997289421,-4.17960404740297e+28,5.706061962900687,1.0970093410208517,3.2417626993403132,9.179660649850405
NOx_EO,NOx_EO_High,EGR_Rate,gaussian,0.05,42,300,17.020455330699345,21.585366652672885,,-10.141208184503864,19.054761874368168,-70.82735133007509,41.452740242660184
NOx_EO,NOx_EO_High,ECU_VTG_Pos,gaussian,0.05,42,300,11.492570200665865,11.686709476032803,,-11.492570200665865,2.1213223611610372,-19.503268132853464,-8.261590405630841
NOx_EO,NOx_EO_Low,EGR_Rate,gaussian,0.05,42,300,12.564517902719745,15.023105808573844,-2.793952779158542e+29,10.454747641021452,10.788510550495909,-22.529669876318906,40.32809393340102
NOx_EO,NOx_EO_Low,ECU_VTG_Pos,gaussian,0.05,42,300,10.059533073851997,10.295938641262826,-1.3122950818410507e+29,10.059533073851997,2.1936606029025554,6.974277706241708,19.36448118286782
SOC,SOC_High,Torque,gaussian,0.05,42,300,0.09121940235071165,0.0923841700125844,-1.0819188544427779e+28,-0.09121940235071165,0.01462379922226377,-0.13836624125060748,-0.05227089577736521
SOC,SOC_High,ECU_VTG_Pos,gaussian,0.05,42,300,0.12408310345035017,0.15279183631248236,-2.9593740910762766e+28,-0.10999083779984863,0.10605357534674537,-0.4592640829876622,0.0915832999299866
SOC,SOC_Low,Torque,gaussian,0.05,42,300,0.2216222979761057,0.22755016363924627,,0.2216222979761057,0.05160071716592695,0.05467425913377433,0.3748373515918484
SOC,SOC_Low,ECU_VTG_Pos,gaussian,0.05,42,300,0.232683508731139,0.2869547964739588,,0.21862459611441148,0.18586646064640483,-0.14034246254496274,0.8392188986088067
